Timestamp,"In the last year, how much money did you typically receive per hour of time spent on freelance mapmaking work?",How often do you feel you are paid fairly for your time when doing freelance mapping? Would you say:,"In the last year, how much did you depend on your freelance cartography income? Would you say:","In the last year, approximately what percentage of your personal income came from freelance mapping work?","How often do you seek advice or services from an accountant, related to your freelance mapping work?","How often do you seek advice or services from a lawyer, related to your freelance mapping work?",How often do you sign a written contract before beginning a freelance mapping project?,Do you carry professional liability insurance?,What is the legal structure of your freelance mapping business?,"In the last year, have you ever subcontracted any of your freelance work, or had an employee of yours work on your freelance projects?",Which of these best describes your gender identity?,"Which map-related degrees or certifications do you hold, if any?",Which of these options best describes you level of mapmaking experience?,Have the published results of previous versions of this survey influenced your business practices or rates?,"If you answered ""Yes"" above, please optionally indicate how previous surveys influenced you.","We'd love to hear any additional thoughts you may have about freelance rates or business practices, or if you have ideas for questions you feel we should ask next time."
5/16/2025 11:28:58,40,Some of the time,I did not depend on it at all; mapping provided surplus income,2,Rarely,Never,Frequently,No,Individual / Sole Proprietorship,No,Man,,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,
5/16/2025 13:49:59,100,Some of the time,I did not depend on it at all; mapping provided surplus income,1,Never,Never,Sometimes,No,Individual / Sole Proprietorship,No,Woman,"Bachelor’s degree in cartography/GIS/geography, Ph.D. cartography/GIS/geography",Experienced (equivalent to 5–10 years of full-time mapmaking work),I haven't seen any previous survey results,,
5/16/2025 15:06:01,65,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,90,Never,Never,Sometimes,No,Individual / Sole Proprietorship,No,Man,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography",Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,I used it to help determine/justify an hourly rate for a long-term contract,
5/16/2025 16:13:11,35,Some of the time,"I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier",10,Never,Never,Frequently,No,Individual / Sole Proprietorship,No,Woman,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography",Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I haven't seen any previous survey results,,
5/16/2025 16:35:23,,Rarely,"I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier",,Rarely,Rarely,Sometimes,No,Individual / Sole Proprietorship,No,Man,GIS or cartography certificate,Expert (equivalent to 20+ years of full-time mapmaking work),I haven't seen any previous survey results,,"I tend to do freelance work for military history authors who don’t have budgets for maps, usually. "
5/16/2025 16:48:25,80,Most or all of the time,"I depended on it substantially; it would have been possible, but challenging, to survive without my freelance income",30,Never,Never,Frequently,"Yes, but not because of a client requirement",Individual / Sole Proprietorship,Yes,Woman,"Bachelor’s degree in cartography/GIS/geography, Chartered Geographer @RGS",Expert (equivalent to 20+ years of full-time mapmaking work),No,,I ended working for a company in October so only went freelance for the last 5 months (not the full year)
5/16/2025 17:13:58,30,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,100,Sometimes,Never,Sometimes,No,Individual / Sole Proprietorship,No,Man,"Bachelor’s degree in cartography/GIS/geography, GIS or cartography certificate, Other professional certification in cartography/GIS, Teaching Certificate ",Somewhat Experienced (just beginning to a few years of full-time mapmaking work),No,,
5/16/2025 17:14:45,70,Most or all of the time,"I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier",15,Rarely,Never,Never,No,Individual / Sole Proprietorship,No,Man,Ph.D. cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,I have structured my rates based on the survey results and shared them with a client who needed justification for a project.,
5/16/2025 17:27:12,,Some of the time,"I depended on it substantially; it would have been possible, but challenging, to survive without my freelance income",25,Never,Never,Rarely,No,Corporation,No,Man,,Expert (equivalent to 20+ years of full-time mapmaking work),I haven't seen any previous survey results,,
5/16/2025 17:45:32,5,Rarely,"I depended on it substantially; it would have been possible, but challenging, to survive without my freelance income",10,Never,Never,Rarely,No,Individual / Sole Proprietorship,No,Woman,"Bachelor’s degree in cartography/GIS/geography, GIS or cartography certificate",Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I haven't seen any previous survey results,,
5/16/2025 17:58:21,,Some of the time,I did not depend on it at all; mapping provided surplus income,25000,Never,Never,Rarely,No,Individual / Sole Proprietorship,No,Man,Ph.D. cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),I haven't seen any previous survey results,,NA
5/16/2025 20:25:52,,Most or all of the time,"I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier",100,Never,Rarely,Frequently,"Yes, because I am required to by a client",LLC,Yes,Woman,"Master’s degree in cartography/GIS/geography, GIS or cartography certificate",Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,I've used the survey results to adjust my rate and I've used the contractor agreement ,The percentage of personal income question was strange. I just said 100 because I don't know what the question really was asking. My has and and I both work but we don't divvy up our earnings. They're just pooled.
5/16/2025 20:46:56,75,Most or all of the time,I did not depend on it at all; mapping provided surplus income,10,Never,Never,Never,No,Individual / Sole Proprietorship,No,Woman,GIS or cartography certificate,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,
5/16/2025 23:33:03,30,Some of the time,"I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier",20,Never,Never,Rarely,No,Individual / Sole Proprietorship,No,Woman,Ph.D. cartography/GIS/geography,Expert (equivalent to 20+ years of full-time mapmaking work),I haven't seen any previous survey results,,
5/17/2025 3:54:02,,Some of the time,I did not depend on it at all; mapping provided surplus income,5,Never,Never,Rarely,No,Individual / Sole Proprietorship,Yes,Man,Master’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),No,,
5/17/2025 5:36:47,10,Some of the time,I did not depend on it at all; mapping provided surplus income,3,Never,Never,Never,No,Individual / Sole Proprietorship,No,Woman,,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),No,,
5/17/2025 6:43:50,,Rarely,"I depended on it substantially; it would have been possible, but challenging, to survive without my freelance income",80,Never,Rarely,Rarely,No,LLC,Yes,Man,ESRI MOOC CERTIFICATIONS,Experienced (equivalent to 5–10 years of full-time mapmaking work),I haven't seen any previous survey results,,How many times should I iterate a client need before asking for additional service charge.
5/17/2025 7:27:08,75,Some of the time,I did not depend on it at all; mapping provided surplus income,20,Never,Never,Sometimes,No,LLC,No,Man,Ph.D. cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I haven't seen any previous survey results,,
5/17/2025 8:05:56,50,Most or all of the time,"I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier",10,Never,Never,Sometimes,No,Individual / Sole Proprietorship,No,Man,"Master’s degree in cartography/GIS/geography, GIS or cartography certificate",Expert (equivalent to 20+ years of full-time mapmaking work),I haven't seen any previous survey results,,
5/17/2025 10:44:45,125,Some of the time,"I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier",15,Never,Never,Frequently,No,LLC,No,Man,"Bachelor’s degree in cartography/GIS/geography, GISP certification",Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,I raised my rates,
5/17/2025 10:59:44,60,Some of the time,"I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier",40,Rarely,Rarely,Frequently,No,Individual / Sole Proprietorship,Yes,Man,"Master’s degree in cartography/GIS/geography, GIS or cartography certificate, Other professional certification in cartography/GIS",Experienced (equivalent to 5–10 years of full-time mapmaking work),I haven't seen any previous survey results,,
5/17/2025 11:46:50,10,Some of the time,"I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier",15,Rarely,Never,Sometimes,No,Corporation,Yes,Man,"Bachelor’s degree in cartography/GIS/geography, GIS or cartography certificate, Other professional certification in cartography/GIS",Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I haven't seen any previous survey results,,
5/17/2025 14:09:07,100,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,100,Frequently,Never,Frequently,No,Individual / Sole Proprietorship,No,Man,"GIS or cartography certificate, PhD in historical geography",Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,I increased my rates significantly,
5/17/2025 17:14:56,,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,,Sometimes,Never,Sometimes,"Yes, but not because of a client requirement",LLC,No,Man,"Bachelor’s degree in cartography/GIS/geography, GIS or cartography certificate",Expert (equivalent to 20+ years of full-time mapmaking work),Yes,,
5/18/2025 6:05:00,5,Most or all of the time,I did not depend on it at all; mapping provided surplus income,10,Sometimes,Rarely,Sometimes,"Yes, but not because of a client requirement",Individual / Sole Proprietorship,No,Man,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography, GIS or cartography certificate",Experienced (equivalent to 5–10 years of full-time mapmaking work),I haven't seen any previous survey results,,
5/18/2025 6:15:05,,Some of the time,I did not depend on it at all; mapping provided surplus income,5,Never,Never,Rarely,No,Individual / Sole Proprietorship,No,Man,Ph.D. cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,
5/18/2025 9:04:27,7,Rarely,I did not depend on it at all; mapping provided surplus income,,Sometimes,Never,Never,No,Individual / Sole Proprietorship,No,Man,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography, GIS or cartography certificate",Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,
5/18/2025 15:55:52,70,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,100,Frequently,Never,Frequently,"Yes, but not because of a client requirement",LLC,No,Woman,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography",Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,
5/18/2025 16:28:56,,Most or all of the time,"I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier",10,Sometimes,Sometimes,Frequently,No,LLC,No,Man,Bachelor’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),No,,
5/18/2025 18:31:12,150,Some of the time,I did not depend on it at all; mapping provided surplus income,1,Never,Never,Rarely,No,Individual / Sole Proprietorship,No,Man,"Bachelor’s degree in cartography/GIS/geography, GIS or cartography certificate",Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,
5/19/2025 9:03:00,150,Some of the time,I did not depend on it at all; mapping provided surplus income,2,Never,Never,Frequently,No,Individual / Sole Proprietorship,No,Man,Bachelor’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,My rates were too low! ,
5/19/2025 9:41:27,75,Some of the time,I did not depend on it at all; mapping provided surplus income,2,Never,Never,Sometimes,No,Individual / Sole Proprietorship,No,Woman,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography, GISP certification, GIS or cartography certificate",Expert (equivalent to 20+ years of full-time mapmaking work),Yes,1,
5/19/2025 16:10:34,33,Rarely,I depended on it completely; freelance mapping was necessary for my survival,100,Never,Never,Never,"Yes, because I am required to by a client",Individual / Sole Proprietorship,No,Woman,Bachelor’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I haven't seen any previous survey results,,
5/20/2025 5:13:10,33,Most or all of the time,"I depended on it substantially; it would have been possible, but challenging, to survive without my freelance income",100,Never,Never,Rarely,"Yes, because I am required to by a client",Individual / Sole Proprietorship,No,Woman,Master’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I haven't seen any previous survey results,,
5/20/2025 12:32:11,,Rarely,"I depended on it substantially; it would have been possible, but challenging, to survive without my freelance income",,Never,Never,Sometimes,"Yes, but not because of a client requirement",Corporation,Yes,Man,Meteorology,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I haven't seen any previous survey results,,
5/20/2025 16:03:29,70,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,100,Sometimes,Never,Sometimes,No,Individual / Sole Proprietorship,No,Man,Bachelor’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),No,,
5/20/2025 20:55:12,30,Most or all of the time,I did not depend on it at all; mapping provided surplus income,5,Never,Never,Never,No,Individual / Sole Proprietorship,No,Man,Bachelor’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,
5/21/2025 10:44:16,0,Some of the time,I did not depend on it at all; mapping provided surplus income,0,Never,Never,Never,No,"not a business, I just occassionally get requests to make maps for colleagues and was hired/paid to contribute maps for a book about 10 years ago",No,Man,Ph.D. cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),I haven't seen any previous survey results,,"I  wish rate information had been available when I was trying to find out how much to charge for making maps for a book in 2015. I was unable to find any guidance at that time, not even from cartographers."
5/22/2025 4:15:48,45,Some of the time,I depended on it completely; freelance mapping was necessary for my survival,100,Sometimes,Never,Sometimes,No,Individual / Sole Proprietorship,Yes,Man,Bachelor's Degree in Geological Sciences,Expert (equivalent to 20+ years of full-time mapmaking work),I haven't seen any previous survey results,,
5/22/2025 16:19:22,150,Some of the time,I depended on it completely; freelance mapping was necessary for my survival,80,Sometimes,Rarely,Frequently,"Yes, because I am required to by a client","LLC, as S corporation",No,Man,Other professional certification in cartography/GIS,Expert (equivalent to 20+ years of full-time mapmaking work),No,,"I have multiple rates, based on the work and the client. I have a mix of high-data GIS work and hand-drawn mapping artwork, so my rates/price (and the perceived value) of my work changes... often quite drastically."
5/24/2025 19:16:59,,Rarely,I depended on it completely; freelance mapping was necessary for my survival,90,Sometimes,Never,Sometimes,,Individual / Sole Proprietorship,Yes,Man,"Bachelor’s degree in cartography/GIS/geography, Other professional certification in cartography/GIS",Somewhat Experienced (just beginning to a few years of full-time mapmaking work),No,,
5/27/2025 13:36:21,50,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,100,Sometimes,Never,Sometimes,No,Individual / Sole Proprietorship,No,Woman,Master’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,I use it to see how my rates compare across the industry. I am always interested in women's representation in geospatial.,
